ID,时间,分类,二级分类,类型,金额,币种,账户1,账户2,备注,已报销,手续费,优惠券,记账者,账单标记,标签,账单图片,关联账单
qj1774687434099101337,2026-03-28 16:43:38,自我投资,工具,支出,107.85,CNY,琳的阶段性成长基金（虚拟）,,三个月vpn,,,,明月前身,,,,
qj1774686240062178847,2026-03-28 16:23:56,收红包,,收入,50.0,CNY,3.余额宝,,,,,,明月前身,,,,
qj1774676908660166055,2026-03-28 13:48:19,日常享受😎,打车,支出,11.6,CNY,3.余额宝,,,,,,明月前身,,,,
qj1774670600670151386,2026-03-28 12:01:20,自我投资,健身,支出,194.96,CNY,琳的阶段性成长基金（虚拟）,,亚麻瑜伽垫和足弓校正仪,,,,明月前身,,,,
qj17746334707482444,2026-03-28 11:00:00,股票基金,余额宝,收入,8.81,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj17745476509815296,2026-03-27 22:18:00,其它,,转账,300.0,CNY,3.余额宝,华安黄金,,,,,明月前身,,,,
qj1774616766425179205,2026-03-27 21:05:54,感情,亲朋🏠👭,支出,13.98,CNY,爱你老己幸福基金（虚拟）,,弟弟西瓜汁,,,,明月前身,,,,
qj1774608981377173375,2026-03-27 18:56:02,日常享受😎,零食,支出,6.02,CNY,3.余额宝,,赶车买个冰淇淋,,,,明月前身,,,,
qj1774606626627154992,2026-03-27 18:16:14,日常享受😎,打车,支出,22.9,CNY,3.余额宝,,打车去高铁站坐车回家，差点没赶上，车晚点了十分钟哈哈哈我是最幸运的人,,,,明月前身,,,,
qj1774585168652163174,2026-03-27 12:19:17,其它,,转账,5417.55,CNY,2.工商绩效卡,3.余额宝,,,,,明月前身,,,,
qj1774585046795135099,2026-03-27 12:17:20,工资,2.绩效：工商银行,收入,4618.49,CNY,2.工商绩效卡,,,,,,明月前身,,,,
qj1774585033094189057,2026-03-27 12:17:06,工资,4.奖金,收入,600.0,CNY,2.工商绩效卡,,,,,,明月前身,,,,
qj1774585025491152533,2026-03-27 12:16:59,收红包,,收入,600.0,CNY,3.余额宝,,,,,,明月前身,,,,
qj17745498390559392,2026-03-27 11:00:00,股票基金,余额宝,收入,8.8,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1774574588274132333,2026-03-27 09:22:40,感情,亲朋🏠👭,支出,115.0,CNY,爱你老己幸福基金（虚拟）,,从家回来,,,,明月前身,,,,
qj1774572059020153618,2026-03-27 08:40:49,感情,亲朋🏠👭,支出,114.0,CNY,爱你老己幸福基金（虚拟）,,回家,,,,明月前身,,,,
qj17745683071303702,2026-03-27 07:38:27,自我投资,基金,支出,141.55,CNY,华安黄金,,平账(6593.66 ~ 6452.11),,,,明月前身,不计收支,,,
qj1774541156184157936,2026-03-27 00:05:32,自我投资,健康,支出,11.8,CNY,微信钱包👛,,gnc辅酶 医保10%,,,,明月前身,,,,
qj17744637983305878,2026-03-26 11:00:00,股票基金,余额宝,收入,8.81,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj17744805580013620,2026-03-26 07:15:58,股票基金,黄金,收入,221.08,CNY,华安黄金,,平账(6072.58 ~ 6293.66),,,,明月前身,不计收支,,,
qj1774410495753189227,2026-03-25 11:48:10,收红包,,收入,50.0,CNY,3.余额宝,,,,,,明月前身,,,,
qj17743785919311468,2026-03-25 11:00:00,股票基金,余额宝,收入,8.83,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj17743950999808778,2026-03-25 07:31:39,股票基金,黄金,收入,329.35,CNY,华安黄金,,平账(5743.23 ~ 6072.58),,,,明月前身,不计收支,,,
qj1774347698693106466,2026-03-24 18:21:13,日常享受😎,打车,支出,2.22,CNY,微信钱包👛,,滴滴出行带猫打针,,,,明月前身,,,http://billimg.qianjiapp.com/48caa8877fe64881b95ce65fad084a02!webporigin,
qj1774339654558135660,2026-03-24 16:07:27,自我投资,阅读,支出,3.46,CNY,琳的阶段性成长基金（虚拟）,,配网,,,,明月前身,,,,
qj1774339406112190669,2026-03-24 16:03:07,自我投资,阅读,支出,3.88,CNY,琳的阶段性成长基金（虚拟）,,配网规划pdf,,,,明月前身,,,,
qj1774333836656170368,2026-03-24 14:30:32,日常生活,通勤,支出,7.62,CNY,微信钱包👛,,,,,,明月前身,,,,
qj1774326042836108313,2026-03-24 12:20:28,日常生活,通勤,支出,3.19,CNY,微信钱包👛,,,,,,明月前身,,,,
qj1774324029233121865,2026-03-24 11:47:04,收红包,,收入,50.0,CNY,3.余额宝,,,,,,明月前身,,,,
qj17743224051526664,2026-03-24 11:20:05,自我投资,基金,支出,711.07,CNY,华安黄金,,平账(6454.30 ~ 5743.23),,,,明月前身,不计收支&预算,,,
qj17742907866617212,2026-03-24 11:00:00,股票基金,余额宝,收入,9.11,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1774346574168143567,2026-03-24 00:00:00,日常享受😎,打车,支出,9.12,CNY,微信钱包👛,,滴滴出行带月饼打针,,,,明月前身,,,http://billimg.qianjiapp.com/ac4171b8113b49dfb574d1dc2f26cae5!webporigin,
qj1774238436641159646,2026-03-23 12:00:29,日常享受😎,打车,支出,2.7,CNY,微信钱包👛,,,,,,明月前身,,,,
qj17742046961728914,2026-03-23 11:00:00,股票基金,余额宝,收入,8.93,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1774225466982171938,2026-03-23 08:24:04,日常生活,通勤,支出,8.21,CNY,微信钱包👛,,,,,,明月前身,,,,
qj1774186220446195809,2026-03-22 21:30:12,日常享受😎,打车,支出,6.5,CNY,2.工商绩效卡,,,,,,明月前身,,,,
qj1774167315888151605,2026-03-22 16:14:56,旅游,吃🍽️,支出,6.0,CNY,爱你老己幸福基金（虚拟）,,动物园的冰淇淋,,,,明月前身,,,,
qj1774150089841159072,2026-03-22 11:27:52,旅游,吃🍽️,支出,51.0,CNY,爱你老己幸福基金（虚拟）,,紫清湖马戏团餐厅,,,,明月前身,,,,
qj17741145042617738,2026-03-22 11:00:00,股票基金,余额宝,收入,8.96,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj17740283562697908,2026-03-21 17:32:00,日常生活,日用品,支出,5.0,CNY,3.余额宝,,丰巢,,,,明月前身,,,,
qj17740285479195688,2026-03-21 11:00:00,股票基金,余额宝,收入,8.7,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1774057872760181415,2026-03-21 09:51:09,日常享受😎,打车,支出,4.82,CNY,微信钱包👛,,,,,,明月前身,,,,
qj17739446293388192,2026-03-20 22:18:00,其它,,转账,300.0,CNY,3.余额宝,华安黄金,,,,,明月前身,,,,
qj1773982729399181617,2026-03-20 12:58:41,日常生活,通勤,支出,7.39,CNY,微信钱包👛,,,,,,明月前身,,,,
qj17739472174505628,2026-03-20 11:00:00,股票基金,余额宝,收入,8.99,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1773965987660143195,2026-03-20 08:19:40,日常生活,通勤,支出,2.83,CNY,微信钱包👛,,滴滴出行,,,,明月前身,,,,
qj1773917062674134787,2026-03-19 18:44:19,日常生活,通勤,支出,5.66,CNY,2.工商绩效卡,,,,,,明月前身,,,,
qj1773902111339112778,2026-03-19 14:34:42,日常生活,通勤,支出,2.37,CNY,2.工商绩效卡,,,,,,明月前身,,,,
qj1773892938813116069,2026-03-19 12:01:26,日常生活,通勤,支出,5.55,CNY,2.工商绩效卡,,,,,,明月前身,,,,
qj17738588454612636,2026-03-19 11:00:00,股票基金,余额宝,收入,8.99,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1773879918983196489,2026-03-19 08:02:00,日常生活,通勤,支出,7.92,CNY,2.工商绩效卡,,特惠快车打车-张师傅-03月19日行程,,,,明月前身,,,http://billimg.qianjiapp.com/dc3f6ee622b94c3f9f2332454b9b7a18!webporigin,
qj1773827972958161283,2026-03-18 17:59:18,日常生活,通勤,支出,5.53,CNY,2.工商绩效卡,,,,,,明月前身,,,,
qj1773815649506112043,2026-03-18 14:34:06,日常生活,通勤,支出,2.7,CNY,2.工商绩效卡,,,,,,明月前身,,,,
qj1773806807787196005,2026-03-18 12:06:43,日常生活,通勤,支出,7.63,CNY,2.工商绩效卡,,,,,,明月前身,,,,
qj17737727142952700,2026-03-18 11:00:00,股票基金,余额宝,收入,8.95,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1773795385046168684,2026-03-18 08:56:18,日常生活,通勤,支出,4.07,CNY,2.工商绩效卡,,,,,,明月前身,,,,
qj1773720186217145150,2026-03-17 12:03:00,日常生活,通勤,支出,8.45,CNY,微信钱包👛,,,,,,明月前身,,,,
qj17736861967094276,2026-03-17 11:00:00,股票基金,余额宝,收入,8.93,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1773707055581155595,2026-03-17 08:24:11,日常生活,通勤,支出,3.52,CNY,微信钱包👛,,,,,,明月前身,,,,
qj1773705071563162897,2026-03-17 07:50:58,其它,,转账,2500.0,CNY,1.徽商工资卡,3.余额宝,,,,,明月前身,,,,
qj1773655243355129094,2026-03-16 18:00:40,日常生活,通勤,支出,5.55,CNY,微信钱包👛,,,,,,明月前身,,,,
qj1773642941243107502,2026-03-16 14:35:38,日常生活,通勤,支出,2.7,CNY,微信钱包👛,,,,,,明月前身,,,,
qj1773634887375168431,2026-03-16 12:21:19,日常生活,通勤,支出,5.57,CNY,微信钱包👛,,,,,,明月前身,,,,
qj17736006278727608,2026-03-16 11:00:00,股票基金,余额宝,收入,8.95,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1773628692589106522,2026-03-16 10:38:07,工资,1.基本工资：徽商银行,收入,2550.4,CNY,1.徽商工资卡,,,,,,明月前身,,,,
qj1773621933377115059,2026-03-16 08:45:29,日常生活,通勤,支出,11.29,CNY,微信钱包👛,,,,,,明月前身,,,,
qj1773618850842143960,2026-03-16 07:54:03,日常生活,通勤,支出,1.8,CNY,微信钱包👛,,滴滴,,,,明月前身,,,,
qj1773577211781175630,2026-03-15 20:19:50,其它,,支出,0.5,CNY,微信钱包👛,,丰巢超时,,,,明月前身,,,,
qj17735116476132966,2026-03-15 19:22:00,其它,,转账,200.0,CNY,3.余额宝,琳的阶段性成长基金（虚拟）,,,,,明月前身,,,,
qj1773569484686104444,2026-03-15 18:11:17,旅游,交通,支出,6.0,CNY,3.余额宝,,地铁,,,,明月前身,,,,
qj1773553590646196010,2026-03-15 13:46:13,旅游,娱乐,支出,66.3,CNY,琳的阶段性成长基金（虚拟）,,拼豆,,,,明月前身,,,,
qj1773548590263183494,2026-03-15 12:22:55,自我投资,工具,支出,152.44,CNY,琳的阶段性成长基金（虚拟）,,Claude,,,,明月前身,,,,
qj17735128845542020,2026-03-15 11:00:00,股票基金,余额宝,收入,9.14,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1773487349486116970,2026-03-14 19:22:21,旅游,吃🍽️,支出,3.0,CNY,3.余额宝,,矿泉水,,,,明月前身,,,,
qj1773485979335123118,2026-03-14 18:59:12,旅游,吃🍽️,支出,17.0,CNY,微信钱包👛,,科巷炸鸡店,,,,明月前身,,,,
qj1773484331814125096,2026-03-14 18:31:31,日常生活,日用品,支出,239.5,CNY,3.余额宝,,无印良品（洗澡刷，口腔喷雾等）,,,,明月前身,,,,
qj1773479850726119415,2026-03-14 17:17:19,旅游,娱乐,支出,63.0,CNY,微信钱包👛,,采耳,,,,明月前身,,,,
qj1773469770221197492,2026-03-14 14:28:57,旅游,吃🍽️,支出,41.0,CNY,微信钱包👛,,恒信恒发姜撞奶等,,,,明月前身,,,,
qj1773467831793199104,2026-03-14 13:56:55,旅游,交通,支出,2.0,CNY,3.余额宝,,公交车（去红庙）,,,,明月前身,,,,
qj17734232221565780,2026-03-14 11:00:00,股票基金,余额宝,收入,8.83,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1773450466869164942,2026-03-14 09:07:01,日常享受😎,三餐,支出,19.0,CNY,微信钱包👛,,检查身体后吃早饭,,,,明月前身,,,,
qj17733382091461628,2026-03-13 22:18:00,其它,,转账,300.0,CNY,3.余额宝,华安黄金,,,,,明月前身,,,,
qj1773405917971182640,2026-03-13 20:45:02,旅游,交通,支出,2.0,CNY,3.余额宝,,南京 公交车,,,,明月前身,,,,
qj1773404335745147390,2026-03-13 20:18:40,日常享受😎,零食,支出,16.0,CNY,微信钱包👛,,糖葫芦两根,,,,明月前身,,,,
qj1773402390851117263,2026-03-13 19:46:16,日常享受😎,三餐,支出,27.0,CNY,微信钱包👛,,南京：老马拉面,,,,明月前身,,,,
qj1773395150958153619,2026-03-13 17:45:02,旅游,交通,支出,13.0,CNY,3.余额宝,,,,,,明月前身,,,,
qj17733405117752836,2026-03-13 11:00:00,股票基金,余额宝,收入,8.94,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1773311798567179643,2026-03-12 18:36:31,日常享受😎,饮料,支出,52.0,CNY,微信钱包👛,,,,,,明月前身,,,,
qj17732544925357292,2026-03-12 11:00:00,股票基金,余额宝,收入,8.94,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1773244027592142701,2026-03-11 23:46:30,自我投资,健康,支出,25.8,CNY,微信钱包👛,,普康码（买了金凯萨鱼油30粒）,,,,明月前身,,,,
qj1773227720692182713,2026-03-11 19:14:45,日常享受😎,三餐,支出,9.3,CNY,微信钱包👛,,袁记云饺（今天尝试了泡澡桶虽然水不够热，但洗完之后真的很爽，头脑爽到肚子有点饿了哈哈）,,,,明月前身,,,,
qj17731677278652116,2026-03-11 11:00:00,股票基金,余额宝,收入,8.94,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1773186136106161203,2026-03-11 07:42:11,工资,3.培训,收入,720.0,CNY,2.工商绩效卡,,,,,,明月前身,,,,
qj1773142534158157621,2026-03-10 19:35:26,日常生活,,支出,10.0,CNY,微信钱包👛,,寄快递回家,,,,明月前身,,,,
qj1773138737650163270,2026-03-10 18:32:08,自我投资,健康,支出,6.78,CNY,3.余额宝,,普康码,,,,明月前身,,,,
qj1773138602704184866,2026-03-10 18:29:52,自我投资,健康,支出,15.12,CNY,3.余额宝,,普康码,,,,明月前身,,,,
qj1773120029462102970,2026-03-10 13:20:19,感情,🐱,支出,35.0,CNY,3.余额宝,,猫猫自动玩具,,,,明月前身,,,,
qj17730839820086612,2026-03-10 11:00:00,股票基金,余额宝,收入,8.97,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1773102720197137386,2026-03-10 08:31:51,日常享受😎,三餐,支出,14.0,CNY,微信钱包👛,,早餐两份馄饨,,,,明月前身,,,,
qj1773102101643133310,2026-03-10 08:21:38,收红包,,收入,50.0,CNY,3.余额宝,,,,,,明月前身,,,,
qj1773037903433199178,2026-03-09 14:31:36,日常生活,通勤,支出,2.53,CNY,微信钱包👛,,滴滴出行,,,,明月前身,,,http://billimg.qianjiapp.com/8e9373e9d23e44c284dd038351fd7c60!webporigin,
qj1773028873705190962,2026-03-09 12:01:06,日常生活,通勤,支出,8.27,CNY,微信钱包👛,,滴滴出行,,,,明月前身,,,http://billimg.qianjiapp.com/9a8b34c27db44f428ba4fed1c37e3085!webporigin,
qj17729953871352540,2026-03-09 11:00:00,股票基金,余额宝,收入,9.0,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1773016032352108486,2026-03-09 08:27:06,日常生活,通勤,支出,9.36,CNY,微信钱包👛,,滴滴出行,,,,明月前身,,,http://billimg.qianjiapp.com/ea6f666fbcd048708998585c185fdefd!webporigin,
qj1772967763834136737,2026-03-08 19:02:14,日常享受😎,打车,支出,21.73,CNY,微信钱包👛,,滴滴出行（送男朋友去车站后打车回宿舍）,,,,明月前身,,,,
qj1772942712163112619,2026-03-08 12:05:01,感情,亲朋🏠👭,支出,52.0,CNY,微信钱包👛,,妇女节给妈妈发红包🧧,,,,明月前身,,,,
qj17729053993743240,2026-03-08 11:00:00,股票基金,余额宝,收入,9.0,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1772937767420159264,2026-03-08 10:42:36,收红包,,收入,380.0,CNY,3.余额宝,,男友,,,,明月前身,,,,
qj1772880122368138162,2026-03-07 18:41:58,日常享受😎,打车,支出,6.6,CNY,微信钱包👛,,,,,,明月前身,,,,
qj1772874269154101590,2026-03-07 17:03:53,自我投资,健康,支出,157.0,CNY,3.余额宝,,去体检要定酒店🏨,,,,明月前身,,,,
qj1772868592979132980,2026-03-07 15:29:41,日常享受😎,零食,支出,37.0,CNY,爱你老己幸福基金（虚拟）,,源麦田（南京体检时买的）,,,,明月前身,,,,
qj17728186294334916,2026-03-07 11:00:00,股票基金,余额宝,收入,9.14,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj17727335571459988,2026-03-06 22:18:00,其它,,转账,300.0,CNY,3.余额宝,华安黄金,,,,,明月前身,,,,
qj1772806191431183287,2026-03-06 22:09:44,日常享受😎,打车,支出,2.54,CNY,微信钱包👛,,滴滴出行,,,,明月前身,,,http://billimg.qianjiapp.com/c38dc1669d4a4ee0a96760f9ae483a75!webporigin,
qj1772770329238164684,2026-03-06 12:12:01,日常生活,通勤,支出,3.03,CNY,微信钱包👛,,滴滴出行,,,,明月前身,,,,
qj17727357557287444,2026-03-06 11:00:00,股票基金,余额宝,收入,9.14,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1772756373461143901,2026-03-06 08:19:28,日常生活,通勤,支出,10.42,CNY,微信钱包👛,,,,,,明月前身,,,,
qj1772709031616122980,2026-03-05 19:10:26,日常享受😎,打车,支出,7.56,CNY,微信钱包👛,,滴滴出行,,,,明月前身,,,http://billimg.qianjiapp.com/c3ee3552f1b3486c8a446cff4ee11eab!webporigin,
qj1772703653974160622,2026-03-05 17:40:48,日常生活,通勤,支出,6.01,CNY,微信钱包👛,,,,,,明月前身,,,,
qj1772693459051155270,2026-03-05 14:50:37,自我投资,工具,支出,145.4,CNY,琳的阶段性成长基金（虚拟）,,gpt会员,,,,明月前身,,,http://billimg.qianjiapp.com/54f2bf657db145219f5db3aa5aff3ea6!webporigin,
qj1772692324683108716,2026-03-05 14:31:56,日常生活,通勤,支出,2.53,CNY,微信钱包👛,,,,,,明月前身,,,,
qj1772683584798197583,2026-03-05 12:06:14,日常生活,通勤,支出,8.71,CNY,微信钱包👛,,滴滴出行,,,,明月前身,,,,
qj17726670998221952,2026-03-05 11:00:00,股票基金,余额宝,收入,9.14,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1772669513028146098,2026-03-05 08:11:49,日常生活,通勤,支出,8.64,CNY,微信钱包👛,,,,,,明月前身,,,,
qj1772620761797125147,2026-03-04 18:39:18,日常生活,通勤,支出,5.53,CNY,微信钱包👛,,,,,,明月前身,,,,
qj1772617905935185179,2026-03-04 17:51:23,自我投资,健康,支出,43.07,CNY,微信钱包👛,,10%普康,,,,明月前身,,,,
qj1772617049957164718,2026-03-04 17:37:23,日常生活,通勤,支出,3.78,CNY,微信钱包👛,,滴滴出行,,,,明月前身,,,,
qj1772606368922142329,2026-03-04 14:39:01,日常生活,通勤,支出,2.42,CNY,微信钱包👛,,滴滴出行,,,,明月前身,,,,
qj1772600008849141768,2026-03-04 12:53:17,日常生活,通勤,支出,7.25,CNY,微信钱包👛,,滴滴出行,,,,明月前身,,,,
qj17725623114349206,2026-03-04 11:00:00,股票基金,余额宝,收入,9.21,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1772583488405169292,2026-03-04 08:17:56,日常生活,通勤,支出,8.9,CNY,微信钱包👛,,高德打车,,,,明月前身,,,http://billimg.qianjiapp.com/cc8f6a7844f94686b13da30c5b236571!webporigin,
qj1772511699187140256,2026-03-03 12:21:30,日常生活,话费：移动,支出,20.0,CNY,3.余额宝,,,,,,明月前身,,,,
qj17724763908854428,2026-03-03 11:00:00,股票基金,余额宝,收入,9.04,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1772459191035105193,2026-03-02 21:46:15,感情,🐱,支出,9.9,CNY,3.余额宝,,羊毛球（月饼不爱玩）,,,,明月前身,,,http://billimg.qianjiapp.com/28dbe9a893444a15b7d8c59f2546e731!webporigin,
qj1772448340223153278,2026-03-02 18:45:23,日常生活,通勤,支出,3.86,CNY,微信钱包👛,,滴滴出行,,,,明月前身,,,,
qj17723908823935584,2026-03-02 11:00:00,股票基金,余额宝,收入,8.95,CNY,3.余额宝,,基金,,,,明月前身,,,,
qj1772411372158176673,2026-03-02 08:29:28,日常生活,通勤,支出,9.53,CNY,3.余额宝,,,,,,明月前身,,,,
qj17723101102755196,2026-03-01 19:22:00,其它,,转账,200.0,CNY,3.余额宝,琳的阶段性成长基金（虚拟）,,,,,明月前身,,,,
qj17723101101864780,2026-03-01 19:20:00,其它,,转账,400.0,CNY,3.余额宝,爱你老己幸福基金（虚拟）,,,,,明月前身,,,,
qj1772359986711130077,2026-03-01 18:12:56,旅游,住宿,支出,151.0,CNY,3.余额宝,,滁州约会,,,,明月前身,,,,
qj17723126732653330,2026-03-01 11:00:00,股票基金,余额宝,收入,8.95,CNY,3.余额宝,,基金,,,,明月前身,,,,
